slice_col,slice_value,horizon,n,positive_rate,mean_pred,brier,log_loss,ece_10
volume_quartile,Q1,p_final,9935,0.35581278309008557,0.3545119732273182,0.051571744206069144,0.1613527129890996,0.011138756352598287
volume_quartile,Q1,p_6h,5851,0.2761921039138609,0.283035885702647,0.05931362558999058,0.1839287678177498,0.011916158610890399
volume_quartile,Q1,p_24h,4609,0.2486439574745064,0.25821463564868663,0.03231034038001109,0.10751078205008113,0.01163699314447483
volume_quartile,Q1,p_168h,1501,0.17521652231845436,0.1787851758278868,0.04525198152883961,0.14408219092237856,0.01849029842999448
volume_quartile,Q2,p_final,11100,0.31036036036036035,0.2927011487338302,0.06708968491813143,0.2059001973336031,0.023804393999182768
volume_quartile,Q2,p_6h,8475,0.24814159292035398,0.24146821007859912,0.06846091373385838,0.21155868152380874,0.01787499006681143
volume_quartile,Q2,p_24h,6183,0.19068413391557495,0.19893770014571363,0.0406531922300361,0.1343443861550455,0.018207321852802143
volume_quartile,Q2,p_168h,974,0.26591375770020537,0.26997893352220237,0.08159927510081665,0.25475065172511335,0.02993465951246993
volume_quartile,Q3,p_final,12017,0.3158858284097528,0.2983571873263031,0.06805252434181261,0.20545133053846737,0.025788207654677826
volume_quartile,Q3,p_6h,10052,0.27138877835256664,0.2660502935194536,0.0838089985780979,0.25582896325698984,0.02615471346730514
volume_quartile,Q3,p_24h,7239,0.19160104986876642,0.21306218229813384,0.0545988867987545,0.18392528538230302,0.03829814133718062
volume_quartile,Q3,p_168h,1199,0.3019182652210175,0.30573204527837317,0.08858000853812727,0.2747309431008866,0.015282853821155752
volume_quartile,Q4,p_final,12454,0.412638509715754,0.38761641548535264,0.08551331296952043,0.24960942727588276,0.025612871969946042
volume_quartile,Q4,p_6h,11110,0.3963996399639964,0.3767183315741419,0.1268625826347454,0.3675045293454002,0.021086038619352508
volume_quartile,Q4,p_24h,7200,0.3298611111111111,0.3237181200577169,0.08200069432890889,0.2491279686620892,0.01455426758180588
volume_quartile,Q4,p_168h,2911,0.2919958777052559,0.2917222502069339,0.09352171036327653,0.2785008024457899,0.010454808624980287
