bin_start,bin_end,count,mean_pred,observed_rate
0.0,0.1,3576,0.012929401208900905,0.010906040268456376
0.1,0.2,371,0.14366790914708794,0.11590296495956873
0.2,0.30000000000000004,271,0.25082225441348827,0.2140221402214022
0.30000000000000004,0.4,282,0.3511903337793656,0.3475177304964539
0.4,0.5,404,0.445682367789383,0.48267326732673266
0.5,0.6000000000000001,452,0.5457425934855054,0.5597345132743363
0.6000000000000001,0.7000000000000001,271,0.6521644392565634,0.6457564575645757
0.7000000000000001,0.8,178,0.7454062757553525,0.7640449438202247
0.8,0.9,158,0.8443870619193644,0.8417721518987342
0.9,1.0,622,0.9822894211774942,0.9710610932475884
