bin_start,bin_end,count,mean_pred,observed_rate
0.0,0.1,14915,0.013873002018119118,0.0073751257123700975
0.1,0.2,1460,0.14770615113840713,0.09931506849315068
0.2,0.30000000000000004,1215,0.24947836322231443,0.17695473251028807
0.30000000000000004,0.4,997,0.34630131201892395,0.2547642928786359
0.4,0.5,905,0.44707850356028006,0.45414364640883975
0.5,0.6000000000000001,1068,0.5425455978938595,0.6123595505617978
0.6000000000000001,0.7000000000000001,560,0.6521152710059184,0.6660714285714285
0.7000000000000001,0.8,506,0.7486621209551856,0.8043478260869565
0.8,0.9,452,0.8426891361211593,0.8915929203539823
0.9,1.0,3153,0.9874333694421499,0.9879479860450364
