bin_start,bin_end,count,mean_pred,observed_rate
0.0,0.1,22986,0.00868840959778393,0.006134168624380058
0.1,0.2,1375,0.1477825787657544,0.13163636363636363
0.2,0.30000000000000004,1351,0.25294201034321817,0.2546262028127313
0.30000000000000004,0.4,1374,0.3497245155047861,0.3529839883551674
0.4,0.5,3263,0.4537905664686022,0.5283481458780264
0.5,0.6000000000000001,4069,0.5401690704140502,0.619562546080118
0.6000000000000001,0.7000000000000001,1143,0.6494416925834385,0.7209098862642169
0.7000000000000001,0.8,844,0.7493716988616863,0.8530805687203792
0.8,0.9,800,0.840345152428463,0.915
0.9,1.0,8301,0.9917972699809815,0.9930128900132514
