bin_start,bin_end,count,mean_pred,observed_rate
0.0,0.1,17487,0.01100005660848127,0.008120317950477497
0.1,0.2,1431,0.14752136078863454,0.12928022361984626
0.2,0.30000000000000004,1517,0.25321185932392987,0.23665128543177325
0.30000000000000004,0.4,1614,0.3484512440558592,0.3215613382899628
0.4,0.5,2993,0.4526257110558491,0.49482124958235885
0.5,0.6000000000000001,3626,0.5403169585595605,0.6001103143960287
0.6000000000000001,0.7000000000000001,1382,0.6512923573238474,0.6765557163531114
0.7000000000000001,0.8,1038,0.7471982297995212,0.7947976878612717
0.8,0.9,809,0.8400000414150389,0.8788627935723115
0.9,1.0,3591,0.9866456773660884,0.9796714007240322
